3,1,441.46,201.96,151.10,369.98,1,-1,-1,-1
3,2,812.91,227.00,90.17,266.95,1,-1,-1,-1
3,3,175.75,180.11,246.54,610.63,1,-1,-1,-1
3,4,968.36,224.99,93.28,260.00,1,-1,-1,-1
3,5,-3.17,142.87,188.43,665.97,1,-1,-1,-1
3,6,929.95,250.98,48.14,169.98,1,-1,-1,-1
3,7,1053.89,234.98,62.19,187.97,1,-1,-1,-1
3,8,577.28,216.04,131.47,358.86,1,-1,-1,-1
3,9,672.94,367.00,61.12,198.00,1,-1,-1,-1
3,10,1341.46,473.98,62.07,164.99,1,-1,-1,-1
3,11,1385.09,289.99,39.81,106.00,1,-1,-1,-1
3,12,1117.30,248.93,57.45,166.06,1,-1,-1,-1
3,13,1140.19,246.96,58.98,184.66,1,-1,-1,-1
3,16,631.32,348.91,86.19,220.99,1,-1,-1,-1
4,1,434.88,206.94,154.31,375.95,1,-1,-1,-1
4,2,811.93,235.96,88.17,260.98,1,-1,-1,-1
4,3,171.59,197.00,240.94,593.74,1,-1,-1,-1
4,4,970.19,230.99,90.61,259.01,1,-1,-1,-1
4,5,-4.36,153.76,179.91,652.11,1,-1,-1,-1
4,6,930.02,255.90,49.96,175.88,1,-1,-1,-1
4,7,1052.99,237.95,62.02,186.98,1,-1,-1,-1
4,8,573.70,222.00,136.65,359.85,1,-1,-1,-1
4,9,677.55,378.00,52.91,174.00,1,-1,-1,-1
4,10,1343.95,480.97,63.07,164.99,1,-1,-1,-1
4,11,1407.37,298.78,51.35,135.55,1,-1,-1,-1
4,12,1116.39,253.88,57.28,165.06,1,-1,-1,-1
4,13,1136.83,251.86,60.79,179.75,1,-1,-1,-1
4,16,713.14,393.64,136.26,340.27,1,-1,-1,-1
5,1,434.30,225.84,151.50,367.00,1,-1,-1,-1
5,2,811.42,240.93,90.17,263.96,1,-1,-1,-1
5,3,150.14,196.01,245.09,615.60,1,-1,-1,-1
5,4,1113.47,302.05,157.26,445.10,1,-1,-1,-1
5,5,-4.49,199.32,166.31,613.48,1,-1,-1,-1
5,6,930.16,261.80,54.60,176.87,1,-1,-1,-1
5,7,1048.20,244.90,68.61,198.89,1,-1,-1,-1
5,8,575.24,224.98,135.56,364.82,1,-1,-1,-1
5,9,754.30,404.03,90.53,288.07,1,-1,-1,-1
5,10,1345.20,488.95,61.57,164.99,1,-1,-1,-1
5,12,1107.60,254.87,63.96,188.84,1,-1,-1,-1
5,13,1129.48,259.72,67.64,207.23,1,-1,-1,-1
6,1,430.00,226.84,156.11,379.93,1,-1,-1,-1
6,2,812.58,241.93,89.84,267.94,1,-1,-1,-1
6,3,142.80,205.94,246.86,621.56,1,-1,-1,-1
6,5,-2.78,231.02,157.93,593.67,1,-1,-1,-1
6,6,931.11,265.74,53.69,173.92,1,-1,-1,-1
6,7,1046.58,248.88,70.85,208.82,1,-1,-1,-1
6,8,576.83,233.91,130.38,363.82,1,-1,-1,-1
6,10,1346.85,492.94,63.26,165.99,1,-1,-1,-1
6,12,1109.03,263.79,60.11,186.86,1,-1,-1,-1
6,13,1125.18,255.79,73.29,236.66,1,-1,-1,-1
7,1,428.06,220.87,157.02,386.90,1,-1,-1,-1
7,2,812.99,249.88,91.01,262.97,1,-1,-1,-1
7,3,113.61,197.00,260.53,636.46,1,-1,-1,-1
7,5,-4.84,232.01,153.13,591.69,1,-1,-1,-1
7,6,932.90,268.69,53.05,172.93,1,-1,-1,-1
7,7,1041.95,250.86,77.14,224.70,1,-1,-1,-1
7,8,574.21,230.93,136.62,378.72,1,-1,-1,-1
7,10,1353.58,493.93,66.76,165.99,1,-1,-1,-1
7,12,1177.68,277.65,88.22,245.28,1,-1,-1,-1
7,13,1129.55,262.66,75.34,240.59,1,-1,-1,-1
8,1,424.66,225.84,161.82,390.88,1,-1,-1,-1
8,2,814.82,250.88,91.34,264.96,1,-1,-1,-1
8,3,100.27,200.98,259.39,659.32,1,-1,-1,-1
8,5,-6.76,215.17,155.01,611.50,1,-1,-1,-1
8,6,933.25,269.67,54.32,174.90,1,-1,-1,-1
8,7,1048.64,257.81,67.74,193.93,1,-1,-1,-1
8,8,573.97,231.92,141.08,386.66,1,-1,-1,-1
8,10,1356.51,494.93,67.88,164.00,1,-1,-1,-1
8,13,1130.78,257.76,71.91,226.85,1,-1,-1,-1
9,1,426.36,222.86,158.42,393.86,1,-1,-1,-1
9,2,816.64,253.86,91.68,266.95,1,-1,-1,-1
9,3,92.05,200.98,263.91,652.36,1,-1,-1,-1
9,5,-8.71,229.04,155.93,593.67,1,-1,-1,-1
9,6,937.75,275.58,53.19,173.92,1,-1,-1,-1
9,7,1052.38,254.83,64.22,190.95,1,-1,-1,-1
9,8,578.77,238.87,140.40,385.66,1,-1,-1,-1
9,10,1391.36,499.73,88.19,227.45,1,-1,-1,-1
9,13,1131.86,259.72,76.61,242.55,1,-1,-1,-1
10,1,425.97,234.80,157.22,382.92,1,-1,-1,-1
10,2,820.79,256.85,89.34,258.99,1,-1,-1,-1
10,3,77.51,205.94,278.09,660.31,1,-1,-1,-1
10,5,-2.54,242.90,153.49,576.83,1,-1,-1,-1
10,6,943.79,280.49,52.91,171.95,1,-1,-1,-1
10,7,1055.43,260.79,70.05,189.96,1,-1,-1,-1
10,8,579.06,237.88,137.85,382.69,1,-1,-1,-1
10,13,1143.58,269.53,55.14,167.98,1,-1,-1,-1
11,1,429.45,236.79,156.22,387.89,1,-1,-1,-1
11,2,825.10,259.83,89.67,263.96,1,-1,-1,-1
11,3,57.49,194.02,293.29,687.13,1,-1,-1,-1
